id_expansion,expansion_code,name,release_date,code_source,n_singles
1632,,XY Trainer Kit: Bisharp and Wigglytuff,0000-00-00,,61
1683,,XY Trainer Kit: Latias and Latios,2015-12-11,,61
1707,,XY Trainer Kit: Pikachu Libre & Suicune,2016-03-22,,61
2070,,SM Trainer Kit: Alolan Sandslash & Alolan Ninetales,2018-01-08,,61
3595,,VMAX Starter Decks: Grimmsnarl VMAX,2020-12-01,,61
1629,,HS Trainer Kit,0000-00-00,,60
3994,,Cruel Traitor,2021-03-18,,59
3999,,Fever-Burst Fighter,2021-03-18,,59
4258,,Decidueye GX Starter Set Grass,2021-03-17,,59
4185,,Thunder Knuckle,2021-04-26,,58
4186,,Spiral Force,2021-04-26,,58
4214,,Black Collection,2021-04-26,,58
6394,,Mega Evolution ID/TH,2025-11-19,,58
6519,,Void Blast,2026-03-12,,58
6598,,Ace Paradox,2026-06-02,,58
6599,,Paradox Encounters,2026-06-02,,58
4208,,Hail Blizzard,2021-04-26,,57
4209,,Psycho Drive,2021-04-26,,57
4216,,Beginning Set for Girls,2021-04-27,,57
4507,,Crossing the Ruins...,2022-01-03,,57
4508,,Awakening Legends,2022-01-03,,57
4213,,White Collection,2021-04-26,,56
5224,,,2022-12-14,,56
1607,WP,,0000-00-00,tcg,55
4200,,Dragon Blade,2021-04-26,,55
4201,,Dragon Blast,2021-04-26,,55
5877,,ADV Expansion Pack,2024-08-21,,55
5872,,Rulers of the Heavens,2024-08-21,,54
6548,,,2026-04-06,,54
5575,,Starter Deck & Build Set Ancient Koraidon ex,2023-12-28,,53
5576,,Starter Deck & Build Set Future Miraidon ex,2023-12-28,,53
5873,,Miracle of the Desert,2024-08-21,,53
5997,,Battle Partners Deck Build Box,2025-01-03,,53
5525,,Venusaur & Charizard & Blastoise Special Deck Set ex,2023-10-27,,52
5703,,Holon Phantom,2024-03-26,,52
5729,,Venusaur Random Constructed Starter Deck,2024-04-08,,52
5835,,Stellar Miracle Deck Build Box,2024-06-03,,52
4154,,XY Beginning Set,2021-03-19,,51
4246,,Sun & Moon Family Pokémon Card Game,2021-03-17,,51
4298,,,2021-05-27,,51
6239,,Premium Trainer Box MEGA,2025-06-30,,51
6413,,Presence of Champions,2025-12-02,,51
3738,,McDonald's Collection 25th Anniversary,2021-02-09,,50
6330,,,2025-11-17,,50
5914,,M Master Deck Build Box Speed Style,2021-03-19,,49
5915,,M Master Deck Build Box Power Style,2021-03-19,,49
4196,,National Pokédex Beginning Set,2021-04-27,,48
4355,,,2021-07-02,,48
4463,,Pokémon Jungle,2021-11-12,,48
4464,,Mystery of the Fossils,2021-11-15,,48
4490,,Extra Regulation Box,2021-03-17,,48
5526,,My First Battle: Bulbasaur & Pikachu,2023-07-13,,48
6509,,Beginning Set Plus,2026-03-03,,48
6510,,Beginning Set Pikachu,2026-03-03,,48
4353,,,2021-06-30,,47
1608,NP,,0000-00-00,tcg,46
4191,,Master Deck Build Box EX,2021-04-27,,46
6415,,Bonds of Destiny,2025-12-03,,46
1637,KSS,XY Kalos Starter Set: Chespin Theme Deck,0000-00-00,tcg,45
5960,,Family Mart Promo Card,2023-07-26,,45
6140,,,2025-05-19,,44
6579,,CSVNC: Land of Kitakami Special Pack,2026-05-12,,44
4212,,Cobalion Battle Strength Deck,2021-04-27,,42
4306,,Entry Pack '08,2021-05-28,,42
5718,,Master Kit,2024-04-08,,42
4252,,Ultra Moon Deck Build Box,2021-03-17,,41
5059,,Intro Pack Box,2022-05-04,,41
5060,,,2022-05-04,,41
2361,,McDonald's Collection 2018 FR,2018-08-15,,40
4262,,Lost Link,2021-05-25,,40
5061,,Intro Pack Neo Box,2022-05-04,,40
5062,,,2022-05-04,,40
6417,,Indigo Flame,2025-12-08,,40
4069,,Mythical & Legendary Dream Shine Collection,2021-03-18,,38
4250,,Flareon GX Starter Set Fire,2021-03-17,,38
4345,,25th Anniversary Collection,2021-06-25,,38
4515,,Premium Trainer Box VSTAR,2022-01-19,,38
5422,,Ruler of the Black Flame Deck Build Box,2023-06-22,,38
5724,,Gift Box Emerald,2024-04-08,,38
6697,SVE,,2026-08-17,tcg,37
5796,,Trick or Trade 2024,2024-06-24,,36
